text,workout_type,source,video_title,channel,likes,date,video_id,author,word_count,spam
SO I GUESS EVERYONE IS WORKING OUT TO BE A BODY BUILDER 😂😂😂WOW OK 😅😅😅😢😢😮,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-03-05,3leNrtwGdOM,@alphibarnette2081,15,False
best 5 day splöit is no split or gear yourself up bcz a normal body will not recover properly no matter how good u plan the excercies your performance will suffe,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-03-01,3leNrtwGdOM,@TheL4r5,31,False
Does this give better gains I normally just train chest shoulders leg back all on separate days ?,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-28,3leNrtwGdOM,@f103a03,18,False
"Mine is 
Push - Chest, Shoulders,Triceps
Pull - Back, Biceps Forearms, neck&traps
Legs - quads, hamstring, calves
×2 a week and rest",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-20,3leNrtwGdOM,@DewaldDupreez-l1l,22,False
"1. Legs quads 
2. Chest/shoulder/tris
3. Back bis
4 rest
5 Legs = hammies/°back
6. Shoulders chest tris",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-15,3leNrtwGdOM,@godsandmonstars,18,False
"Bruh if you can still hit upper body after hitting arms, your arm training is trash.",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-29,3leNrtwGdOM,@Hxllxwood,16,False
"Day 1: Test 
Day 2: Tren
Day 3: Clen
Day 4: Anavar 
Day 5: Winstrol",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,1,2026-01-28,3leNrtwGdOM,@NightmareChronicles77,15,False
"I don’t like having scheduled days for what I’m hitting it gets boring so I’m just now starting to do it like legs 2x week , chest 4x per week ,bicep & tricep 4x per week , back 3x per week ,abs 3x per week ,shoulders 3x per week , heavy bag 3x per week for conditioning ,on days I’m not doing chest I’ll still do 50 pushups",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-17,3leNrtwGdOM,@keanu.3,68,False
"My day 1 chest tricep
Day 2      back bicep
Day 3      leg shoulder
Day 4.     Follow the above same pattern",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-12,3leNrtwGdOM,@Tcfdfx,20,False
"Too much work. I prefer 
Day 1 McDonald’s
Day 2 kfc
Day 3 Taco Bell
Day 4 Pizza Hut 
Day 5 in n out",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-06,3leNrtwGdOM,@dominicclesceri5627,24,False
This is what I plan to do expect every 4th day is a rest day,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2025-12-29,3leNrtwGdOM,@Dontbreakyoneck,15,False
Hitting gym after a long break. Have never consistently been to gym in my life. I'm 33 and have a skinny fat kinda physic. Will update after a month from now and every month from there till end of the year atleast. Hopefully 😂,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-02-26,3PMrt-1WDaI,@vysakhgangadharan,44,False
"For flat dumbell chest press, can I do machine chest press instead? For incline dumbbell row, can I instead do seated machine row? Seated Machine shoulder press instead of overhead bar press, lat pull-down instead of pull-ups ?",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-02-21,3PMrt-1WDaI,@medrecbro,38,False
"i'm so tired of trying to figure out where to start with working out, it's overwhelming. i've been using fitness copilot lately and it's been kinda nice, everyone keeps talking about it so i thought i'd give it a shot. i just type what i want to achieve and it handles the rest, saves me from overthinking everything.",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-02-15,3PMrt-1WDaI,@ericjoshua-i1f,58,False
Day 1 done first time I felt like I did actual workout I'll follow this routine,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,1,2026-02-02,3PMrt-1WDaI,@shubh3603,16,False
This guy sounds like hes a mix of British and Danish.,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-26,3PMrt-1WDaI,@Kalvis1,11,False
"lot of workout for begginers in youtube and every single one is completly diffrent omg , i don't even know what to do now",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,1,2026-01-19,3PMrt-1WDaI,@yyonix93,24,False
My cheap gym doesnt have those legs and vertical gym machine :|,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-19,3PMrt-1WDaI,@MMR-oh4jt,12,False
Day 1 of training after 3 years. Wanna look good for my wedding end of the year,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-10,3PMrt-1WDaI,@phenomenonnarutokun,17,False
Is there something I could swap the pec decs out  with? I don’t have one.,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-07,3PMrt-1WDaI,@gagebullock7357,15,False
"I train nearly every day doing swim bike and run. I'm looking to add some gym work to replace my limited at home sessions, but I'm only looking to do 2 days ideally. Could the leg day be combined with one of the others to make it a 2 day  schedule?",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,1,2026-01-04,3PMrt-1WDaI,@tommartin6062,51,False
"Hey Joe, I finished the Day 1 workout and it went really well. Thank you so much for helping me start my gym journey — I really appreciate it. I was thinking ahead and wanted to ask if you have (or recommend) an intermediate workout video for when I get stronger, or if I want to switch things up with different exercises. Thanks again for everything",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-03,3PMrt-1WDaI,@AaronAtCow,66,False
It was my first time doing it absolutely loved it! I used to think gym is hard but the more you do the less it seems hard,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-31,3PMrt-1WDaI,@TapXStation,27,False
"@JoeDelaneyy, using that routine, what days would you recommend for fitting in some cardio?",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-26,3PMrt-1WDaI,@Jteroleto,14,False
"For the 5 day routine, would you suggest lowering the number of sets to 3 instead of 4",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-25,3PMrt-1WDaI,@birdy8406,18,False
This workout plan i been using for a few months and I think it's amazing easy to do a effective.,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,4,2025-12-17,3PMrt-1WDaI,@realafah_,20,False
How many sets and reps should we do for these exercises?,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-15,3PMrt-1WDaI,@adamhasan9290,11,False
This Ultimate Gym Workout Mix just helped me add 10lbs to my deadlift PR! Pure fire! 🔥,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-12,3PMrt-1WDaI,@GymPumpPlaylist,17,False
"Honestly this has to be one of the best videos ive seen for any beginner, im not a beginner but still see myself as a beginner as i have started and stopped so many times over the years so love looking at videos for ideas on new splits/routines. This is by far the best gym video ive seen. Simple and effective advice with a routine that sounds perfect, will definitely be giving this a go. Thanks very much for the advice its so hard to get through the bullshit online and theres none here at all.",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,3,2025-12-10,3PMrt-1WDaI,@madmike1010,96,False
Such an informative video thanks bro!! I am barely a day 1 beginner in the gym so this video is exactly what I was looking for. A realistic plan to follow for a week 👍,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-09,3PMrt-1WDaI,@navp8017,35,False
"If curious how much weight he demonstrated in this video, I noted them down, some are just guesses as I don't know exact brick weight, since most machines use 10 lbs per brick I assume the same here.

Day 1:
1. Flat DB press - 30kg each hand, 60kg total.
2. Incline DB row - 30kg each hand, 60kg total.
3. Chest Fly Machine - Level 8 on the bricks, probably 80 pounds / 36kg.
4. Reverse Fly / Reverse Pec Deck - Level 6 on the bricks, probably 60 pounds / 27kg.
5. DB Curls - 12kg each hand, 24kg total.

Day 2:
1. Leg Press Sled Machine - 105kg on each side, total 210kg. 
2. Seated Leg Curl - Level 8 on brick, probably 80 pounds / 36kg.
3. Leg Extension - Level 8 on brick, probably 80 pounds / 36kg.
4. Standing Calf Raise - Level 7 on brick, 70 pounds / 31.5kg.
5. Hyperextension - Bodyweight only.

Day 3:
1. Assisted Pullup.
2. Seated Smith Machine - 10kg each side, the smith bar probably 10kg, bringing total 30kg.
3. Cable Straight Arm Pulldown - Level 11 on brick, probably 110 pounds / 50kg.
4. Lateral Raise Machine - Level 7 on brick, 70 pounds / 31.5kg.
5. Rope Overhead Tricep Extension - Level 7 on brick, 70 pounds / 31.5kg.",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-08,3PMrt-1WDaI,@AnonymousTOTW,224,False
How do i know what weight is right for these? I know everyone is different so getting an actual number wont work for everyone. But how should it feel? Should the first set feel easy?,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-07,3PMrt-1WDaI,@tmaduct5,35,False
Do you have any alternative of workouts that use gym tools for me that's do it at home and doesn't have any of those tools?,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-05,3PMrt-1WDaI,@Aseligaes,25,False
Bro is concocting a potion to bring back Lord Voldemort 🙏,gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2026-02-21,wCi78-7lQr0,@avisharma4836,11,False
This a great breakdown thanks for the video brother stay blessed !,gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2026-02-09,wCi78-7lQr0,@SosaTee-w5d,12,False
"This video is intensively strong, I'm going to the gym now because of this video to do the 0:16 brachioradialis; reverse easy bars, no question.",gym,youtube,The BEST Upper Body Exercises,Davis Diley,1,2026-01-22,wCi78-7lQr0,@iffythegoldencrust4255,25,False
"Wait you do forearms ??
I thought just your editing excellence is enough to grow them massive 
Goated shorts and info as always ❤",gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2025-12-27,wCi78-7lQr0,@modroidmiraf5321,24,False
Idk if any of yall would be able to help or give advice on this but recently when I play basketball (I’m center or power forward if that changes anything) during the later portion it after games and practice I will start to have mid to lower back pain that lingers for a few days so if yall got anything to help appreciate if you could let me know yall have a blessed day,gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2025-12-15,wCi78-7lQr0,@AidanDiebold-u8l,74,False
"Db curls? Nah you need a better stretch to grow the bicep, preacher curls are the way.",gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2025-12-13,wCi78-7lQr0,@Brooklyn718Pit,17,False
"In case you missed it, I just launched my new Pure Bodybuilding program this week and it's still 20% off this weekend. This is one of the workouts in the Full Body version of the program and there is also a Pull/Pull/Legs and Upper/Lower version available! If you're looking for a routine purely dedicated to hypertrophy training, check it out at jeffnippard.com!",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1159,2023-11-11,czkGj5vJEFQ,@JeffNippard,62,False
can anyone tell me why it's happening to me. like I do chest day but after that I feel and see more pump or size on the left chest (I'm right handed) so I have to do some extra reps on the right to balance it . and also I feel more muscle activation on the left chest while doing incline dumbbell press. but why?,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-03-04,czkGj5vJEFQ,@Saii-yo,65,False
Any chance of posting a 3x a week full body workout? Please,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-02-25,czkGj5vJEFQ,@cnlagamo10,12,False
If there are “missing muscles” then it’s not “full body day”.,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-02-25,czkGj5vJEFQ,@Delkomo,11,False
Nahh the incline clip makes him look like a buff midget😂😂,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-02-11,czkGj5vJEFQ,@fitnessffinessed,11,False
"If I saw a man in my gym doing any of these besides the leg press, I’d probably beat the 💩 outta him. Just on principle",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2026-01-09,czkGj5vJEFQ,@balooojeffersong4234,26,False
Blue we skipped 90 % of the body this ain't full body this is quarter body,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2025-12-09,czkGj5vJEFQ,@ace.d.firefist,16,False
"So easy to put on mas when you're only 5'5. 
His 8 million followers should be enough weight for him.",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-12-04,czkGj5vJEFQ,@that417,20,False
If there is one thing I’ve learned from Jeff it’s zero consistent workout routines. Dudes all over the place.,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-12-04,czkGj5vJEFQ,@Sttonkeoj,19,False
Just started a new job where I’ll be working 13 hours five days a week. Definitely gonna use this!,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-11-22,czkGj5vJEFQ,@RateMyRoutine,19,False
"""Leg press - you can push super hard without causing tons of fatigue"" 
Really?! 🤔 Not sure if we push super hard in that case.",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-11-16,czkGj5vJEFQ,@wiss4353,25,False
Can I ask why you choose an ab exercise with little stretch to the abs??,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2025-11-03,czkGj5vJEFQ,@evangraybill7644,15,False
How is smith bench safer to fail than freeweight? At least with freeweight you could roll the weight off if you fail without spotter. On smith machine you just get pinned.,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-28,czkGj5vJEFQ,@VynnWav,31,False
How is this science based 😂 anyone can go in the gym and assume to do these,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-27,czkGj5vJEFQ,@AB-uv2ho,17,False
Hip adductors is the shittiest and the most useless excersise in the gym,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-23,czkGj5vJEFQ,@harleybowers2335,13,False
"""Any missing muscles."" What? This is a full body workout meaning all muscles I thought.",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2025-10-22,czkGj5vJEFQ,@ScottMalkinsonisW,15,False
Is it ok to do this same workout every time I workout?,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-12,czkGj5vJEFQ,@rorenplays5982,12,False
"Monday - chest.  ,trice. , shoulders 
Tuesday - back and biceps
Wednesday - leg and abs
Thursday - shoulders and arms",gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2026-03-09,2sasCsWHzO4,@xaddo.-gaming,21,False
What if I want to add another leg day in but I only have 4 days (I work weekend/nights,gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2026-02-26,2sasCsWHzO4,@igrim_x_x4062,19,False
i bet all the chuds in this comment section will never have the work ethic to achieve his physique even if they have twice the amount of 'gear' they claim him to do,gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2026-02-13,2sasCsWHzO4,@chicopatata33,33,False
"I think the best split goes something like this
Monday: Legs
Tuesday: Push
Wednesday: Pull
Thursday: Legs
Friday: Rest
Saturday: Upper
Sunday: Rest

Repeat",gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2026-02-06,2sasCsWHzO4,@EthanConstantinescu-nl1nz,24,False
"How does ""arms"" differ from biceps or triceps? Referring to day 4.",gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2026-01-04,2sasCsWHzO4,@hotant522,12,False
I need the arms and shoulders day full workout if someone has it,gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2025-12-23,2sasCsWHzO4,@Kaze-r8f,13,False
For the 4th day since we doing arms will back and chest get limited?,gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2025-12-17,2sasCsWHzO4,@zayaanhasssen10,14,False
4th day should be FBW to target every muscle 2 times a week (legs and abs also),gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2025-12-07,2sasCsWHzO4,@okon7464,17,False
"more gear than last time cuz he couldnt do it without 
cheater and a liar
juicer from day 1",gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2025-11-17,2sasCsWHzO4,@mikkeljensen6303,19,False
"I just started working out 5 or 6 weeks ago, and I have been doing all these in one day, every day, so should I keep doing it like that or do it like this? I don't know what to do, so can someone tell me if its better to do a workout routine or all of them at once in one day.",gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2025-11-08,2sasCsWHzO4,@PositiveScriptures,63,False
2 days full body training 4 days martial arts 1 day light training or rest.,gym,youtube,4 Day Workout Routine 🦾,Hussein,0,2025-10-26,2sasCsWHzO4,@blake8666,15,False
"youre so beautiful so dont listen to anyone saying youre too skinny. you arent to skinny, youre just really beautiful :)",gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-03-08,FDpnYOqC1Jw,@edelweiss-,21,False
Im 14 and I workout daily every morning because it makes me feel energized during the day and it also feels like a big accomplishment in my day,gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-03-03,FDpnYOqC1Jw,@DefneCokuk-h9c,28,False
"🙋🏻‍♀️ Not “skinny” but definitely weak. Glad I found your channel. I’m an endurance athlete and I never focused on weights, but after having my first baby, he is growing so quickly that it’s physically hurting me to carry him around for too long.
Going back to the gym after Ramadan ends to build that muscle ❤",gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-02-25,FDpnYOqC1Jw,@Kel.eclair,57,False
"I mean... Mikasa is literally designed to have better genes than the average person when they're activated (so they have a genetic advantage) but to be fair, that was explored in Season 3.",gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-02-23,FDpnYOqC1Jw,@marxvargas7697,33,False
"My reason was that I wasn’t happy being thin either and I used unhealthy and disordered methods to maintain it. 

I started working out because achieving goals and pursuing the hobby along with the feeling of wanting to become better. I was around weight lifting from an early age but never thought it was for me, I was so wrong. The endorphins alone are amazing they make my day, seeing new PR makes me feel progress.

I’d rather lift heavy weight and feel strong than be sad and starved.",gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-02-23,FDpnYOqC1Jw,@onihoneys,89,False
Imagine working out for years and never looking like you've touched a weight. This is a woman's life. Thank God you were born a man.,gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-02-18,FDpnYOqC1Jw,@tullythebully5539,25,False
"I got you 😂. I was inspired by mikasa too 😂. But now , i want just to look healthy and look better🤧 . And a bit influenced by Vi and Ambessa 😂😂😂",gym,youtube,how my journey started with inspiration from anime #gymgirl #gym #gymmotivation,breadman,0,2026-02-15,FDpnYOqC1Jw,@Kirayl_the_alt_christian,33,False
